,,,,,,,,,,,,,,,,,,,,,
Door Slab,715.00,495.00,715.00,495.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,7,FM-500X560X720-5,70,220236,r33b0070,,PO-0587,JK-48
Unfinished Left End(inner),719.40,559.40,719.40,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,8,FMD3-900X560X720-6,71,220236,r33b0071,,PO-0587,JK-49
Unfinished Right End(inner),719.40,559.40,719.40,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,8,FMD3-900X560X720-6,72,220236,r33b0072,,PO-0587,JK-50
Unfinished Back(Back),696.80,876.80,696.80,876.80,1,0,6MM BWR 22291+22291,,,,,KITCHEN,1,8,FMD3-900X560X720-6,73,220236,,,PO-0587,JK-51
Top,864.20,559.40,864.20,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,8,FMD3-900X560X720-6,74,220236,r33b0074,r33f0074,PO-0587,JK-52
Deck(Bottom),864.20,559.40,864.20,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,8,FMD3-900X560X720-6,75,220236,r33b0075,r33f0075,PO-0587,JK-53
Door Slab,175.00,895.00,175.00,895.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,8,FMD3-900X560X720-6,76,220236,,,PO-0587,JK-54
Unfinished Left End(inner),719.40,559.40,719.40,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,9,BPU-150X560X720-7,79,220236,r33b0079,,PO-0587,JK-55
Unfinished Right End(inner),719.40,559.40,719.40,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,9,BPU-150X560X720-7,80,220236,r33b0080,,PO-0587,JK-56
Unfinished Back(Back),696.80,126.80,696.80,126.80,1,0,6MM BWR 22291+22291,,,,,KITCHEN,1,9,BPU-150X560X720-7,81,220236,,,PO-0587,JK-57
Top,114.20,559.40,114.20,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,9,BPU-150X560X720-7,82,220236,r33b0082,r33f0082,PO-0587,JK-58
Deck(Bottom),114.20,559.40,114.20,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,9,BPU-150X560X720-7,83,220236,r33b0083,r33f0083,PO-0587,JK-59
Door Slab,715.00,145.00,715.00,145.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,9,BPU-150X560X720-7,84,220236,,,PO-0587,JK-60
Unfinished Left End(inner),719.40,559.40,719.40,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,10,FCM-1125X560X720-8,85,220236,r33b0085,,PO-0587,JK-61
Unfinished Right End(inner),719.40,559.40,719.40,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,10,FCM-1125X560X720-8,86,220236,r33b0086,,PO-0587,JK-62
Unfinished Back(Back),696.80,1101.80,696.80,1101.80,1,0,6MM BWR 22291+22291,,,,,KITCHEN,1,10,FCM-1125X560X720-8,87,220236,,,PO-0587,JK-63
Top,1089.20,559.40,1089.20,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,10,FCM-1125X560X720-8,88,220236,r33b0088,r33f0088,PO-0587,JK-64
Deck(Bottom),1089.20,559.40,1089.20,559.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,10,FCM-1125X560X720-8,89,220236,r33b0089,r33f0089,PO-0587,JK-65
Adjustable Shelf,1088.20,521.40,1088.20,521.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,10,FCM-1125X560X720-8,90,220236,,,PO-0587,JK-66
Door Slab,715.00,495.00,715.00,495.00,1,0,16MM BWR 10197SF+22291SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,029P(22X2)10197SF,KITCHEN,1,10,FCM-1125X560X720-8,91,220236,r33b0091,,PO-0587,JK-67
Door Slab,717.40,550.40,717.40,550.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,10,FCM-1125X560X720-8,93,220236,,,PO-0587,JK-68
Unfinished Left End(inner),599.40,319.40,599.40,319.40,1,0,16MM BWR 22291+22291,8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),8414 (22x0.8),KITCHEN,1,11,WM-700X320X600-10,94,220236,r33b0094,,PO-0587,JK-69
